"","club","points","gagnes","joues","nuls","perdus","buts.pour","buts.contre"
"1","LILLE",76,21,38,13,4,68,36
"2","MARSEILLE",68,18,38,14,6,62,39
"3","LYON",64,17,38,13,8,61,40
"4","PARIS-SG",60,15,38,15,8,56,41
"5","SOCHAUX",58,17,38,7,14,60,43
"6","RENNES",56,15,38,11,12,38,35
"7","BORDEAUX",51,12,38,15,11,43,42
"8","TOULOUSE",50,14,38,8,16,38,36
"9","AUXERRE",49,10,38,19,9,45,41
"10","ST-ETIENNE",49,12,38,13,13,46,47
"11","LORIENT",49,12,38,13,13,46,48
"12","VALENCIENNES",48,10,38,18,10,45,41
"13","NANCY",48,13,38,9,16,43,48
"14","MONTPELLIER",47,12,38,11,15,32,43
"15","CAEN",46,11,38,13,14,46,51
"16","BREST",46,11,38,13,14,36,43
"17","NICE",46,11,38,13,14,33,48
"18","MONACO",44,9,38,17,12,36,40
"19","LENS",35,7,38,14,17,35,58
"20","ARLES",20,3,38,11,24,21,70
